profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,S_skier,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
77753,2012-12-18 11:00,36,3,1.0,79.0,1.0,3.0,1.0,100.0,0,101.87,51.68,1.99,0.0,0.84,0.0,5,201.3,42.61,36,101.15577889447236,84.97085427135679,50.190000000000005,179.4731420601713,234.470942566573,55.19589123268125,224.74124999999998,231.27560975609754,0.23,1.12,0.0,2.74869097989505,1.76,0.75,-0.5943,0.30349000076174487,0.33977743272973066,0.7494522432676108,0.6588846010912057,1.3387789912002603,0.19841406453364768,25268.49522005772,0.12963752931867256,-0.1,3.77
77768,2012-12-19 15:00,34,2,2.0,122.0,1.0,3.0,1.0,144.0,1,145.74,114.42,0.83,0.39,0.36,0.0,4,151.8,5.126,8,182.89156626506028,65.84096385542169,31.320000000000007,149.28167305236266,381.3147237001502,39.86629041789038,166.02182011708354,180.68139534883719,0.24,0.42999999999999994,0.0,2.6846508563899865,2.19,0.42,-0.3203,0.48633981922835173,0.49456415806750625,0.18205562094508843,0.17028938875603758,0.20183607358323297,0.32272154989905744,19076.552719853367,0.0808590728336557,-0.87,5.97
77311,2012-03-30 09:30,30,7,0.0,117.0,3.0,1.0,0.0,117.0,1,112.65,102.36,1.87,0.0,0.7,0.0,5,150.6,8.669,24,80.53475935828877,56.37433155080213,10.290000000000006,143.3931000971817,132.7982941372215,48.42122890323222,143.3931000971817,139.77008149010476,0.17,0.9300000000000002,0.0,2.135987963041451,6.0,0.41,-0.1149,1.480287962899123,1.5533573302984627,6.0,6.0,50.0,0.1312761920289516,9761.754373177844,0.006573599913911926,-0.15,4.18
78690,2013-03-30 10:00,38,2,1.0,93.0,1.0,3.0,1.0,110.0,0,142.57,133.18,1.64,0.03,0.56,0.0,5,109.9,3.029,9,67.01219512195122,37.526829268292694,9.389999999999986,115.22864749733755,245.00251009998183,28.415290625406143,115.22864749733755,147.8,0.25,0.019999999999999796,0.0,1.0482705939181522,6.0,0.21,-0.06776,1.6221685983207663,1.5488317473872188,6.0,6.0,50.0,0.09345880886125944,10761.957671957667,0.010208261087051114,-0.33,5.05
78512,2013-03-05 10:30,28,5,2.0,45.0,3.0,1.0,0.0,85.0,1,83.61,54.02,1.75,0.02,0.78,0.0,5,194.7,34.03,52,111.25714285714285,86.78057142857142,29.589999999999996,182.43710713078744,157.24139072578086,71.32632759270969,193.84794589178358,202.5364035087719,0.19,0.3600000000000001,0.0,1.3437016180584038,2.41,0.7,-0.4266,0.5147740161619458,0.5487303944491753,0.4108392612215252,0.3492104846113928,0.48666758179563696,0.23311676426920855,17783.63776691536,0.043795640876952494,-0.06,4.08
78639,2013-03-22 08:00,28,3,1.0,158.0,1.0,3.0,1.0,205.0,0,228.74,196.54,2.5,0.0,1.13,0.0,5,144.8,12.23,35,57.92,65.4496,32.20000000000002,128.05024844720495,264.14103252784145,46.17477536290282,142.73692569483833,150.43915789473684,0.27,-0.3599999999999999,0.0,0.8004771471622301,2.09,0.38,-0.3196,0.47304854466558915,0.5337444927002043,0.1214775013821436,0.05,0.12972550136627278,0.07783117413471713,19554.193750489474,0.08365675658943472,-0.29,5.79
78937,2013-12-01 11:15,35,7,0.0,83.0,3.0,1.0,0.0,83.0,1,79.66,40.11,1.38,0.0,0.7,0.0,4,187.5,40.91,11,135.8695652173913,95.10869565217392,39.55,176.32280657395702,368.089818798592,67.7741500396201,204.4669394435352,210.7250258531541,0.21,0.7499999999999999,-0.5,2.5841777777777772,1.55,0.65,-0.4662,0.38513686822331156,0.4091720491178521,0.5612114458064807,0.5094952899841627,0.7915815955080124,0.27569769015314316,15755.65714285714,0.04306501695877611,-0.12,6.0
78644,2013-03-25 08:30,32,2,1.0,150.0,1.0,3.0,1.0,158.0,1,166.47,140.73,1.87,0.02,0.85,0.0,5,135.4,8.096,28,72.40641711229947,61.54545454545455,25.74000000000001,160.19304584304584,327.41638775727967,58.776215766537796,169.88422649140549,184.52090395480224,0.22,0.8800000000000001,0.0,2.36878385032004,1.08,0.33,-0.305,0.5917701296904416,0.5019618368239159,0.07712951707844075,0.16248203719174964,0.0810259179080233,0.1646704341871378,19682.66666666667,0.07524815311298975,-0.38,5.13
78949,2013-12-03 11:00,43,7,0.0,100.0,3.0,1.0,0.0,100.0,0,104.19,99.79,0.88,0.31,0.28,0.0,4,107.7,5.363,11,122.38636363636364,34.26818181818182,4.3999999999999915,109.77295454545467,114.87162871070332,30.530982930108532,109.77295454545467,125.59020408163275,0.24,-0.2300000000000001,0.0,0.6617648288957482,6.0,0.2,-0.03253,3.461855258689082,3.399013568299325,6.0,6.0,50.0,0.1569167494260881,5950.309901738472,0.00895099984238861,-0.07,6.0
79070,2013-12-24 10:30,35,7,0.0,62.0,3.0,1.0,0.0,62.0,0,61.91,46.72,1.65,0.0,0.63,0.0,5,179.0,31.8,30,108.48484848484848,68.34545454545454,15.189999999999998,132.02047399605001,204.24102548725497,25.586162055685914,132.02047399605001,149.68333333333334,0.22,1.0499999999999998,0.0,2.2276536312849164,6.0,0.59,-0.1385,1.0027757168026317,1.351457360505265,6.0,6.0,50.0,0.12660272848210338,8636.621315192744,0.006846169047985136,-0.05,6.0
