profID,datetime,slopeangle,RB_score,RB_releasetype,RB_height_obs,RB_class,localNowcast,stability_class,HS_obs,similarity_obs_sim,HS_sim,RB_height_sim,gs_wl,sph_wl,bs_wl,dendr_wl,gt1_wl,rho_wl,visc_wl,age_wl,rho_divby_gs_wl,rhobs_divby_gs_wl,D_sl,rho_sl,rho_divby_gs_sl,rhobs_divby_gs_sl,rho20_sl,rho10max_sl,penetrationdepth,delta_gs,delta_hh,frac_rhogs,rts,shear_strength_wl,normalstress,skier_stress,skier_stress_monti,sk38,sk38_monti,rc,neck_stress,neck_strain_rate,viscdefrate,defrateindex
18171,2008-01-14 09:00,32.0,3,1,51.0,1.0,3.0,1,84.0,1,91.63,73.92,2.18,0.0,0.98,0.0,5,133.7,7.223,14,61.33027522935779,60.10366972477063,17.709999999999994,135.25352907961604,186.10632874532644,30.831549077387656,135.25352907961604,155.62321608040202,0.24,0.91,0.0,1.8564773644132184,0.77,0.32,-0.1784,0.8600882630283441,0.8507481656018603,6.0,6.0,0.09932046286523752,11770.486741635432,0.01513627646846371,-0.3,5.6
19210,2008-01-17 10:00,32.0,5,1,163.0,2.0,3.0,-999,197.0,0,183.09,160.5,0.75,0.38,0.28,0.0,4,169.5,7.242000000000001,9,226.0,63.28000000000001,22.590000000000003,147.25506861443114,419.5731206970352,51.0610751755556,151.6501251877817,172.33394495412847,0.22,0.45,0.0,3.0235988200589974,0.6,0.52,-0.2399,0.6742878768584318,0.7743175508753203,0.05,6.0,0.3459915982739179,17386.07374768089,0.04950353089963566,-0.4,5.09
19450,2008-01-20 12:00,27.0,2,3,53.0,1.0,2.0,-999,70.0,1,77.29,64.77,3.69,0.0,2.34,0.0,6,178.7,33.41,14,48.428184281842825,113.3219512195122,12.52000000000001,155.89113418530349,167.30390673521748,40.833092629967105,155.89113418530349,154.8908995815899,0.2,2.8,0.3999999999999999,4.29919581496828,1.0,0.82,-0.1548,1.216626448740572,1.3912210479464442,6.0,6.0,0.09422410240256136,3683.6273038702175,0.0005624682995603956,-0.3,6.0
19670,2008-01-23 11:00,22.0,2,1,111.5,1.0,3.0,1,141.0,1,141.48,97.68,2.18,0.0,1.19,0.0,5,189.7,27.81,24,87.0183486238532,103.55183486238528,43.79999999999998,168.35522831050233,283.2811890250843,55.56536097414436,208.69773071104385,221.88821096173731,0.25,1.16,0.0,2.5496087733986594,0.78,0.67,-0.6312,0.3477662816947941,0.3911770439196461,0.5744001983179546,0.4624001010863145,0.1591846908354569,17542.80012333761,0.040068145042429296,-0.2,3.77
19810,2008-01-24 09:00,33.0,3,1,5.0,1.0,3.0,1,44.0,1,55.46,13.99,1.81,0.0,0.75,0.0,5,247.3,107.3,74,136.62983425414365,102.47237569060776,41.47,183.2120569086087,127.38837641890107,71.06362311174506,222.1683962264151,240.32159672466736,0.22,-0.1399999999999999,0.0,0.8891702178398498,0.79,1.16,-0.544,0.36730559773889504,0.4931165048834164,1.0021045632064596,0.5553671775062421,0.2304391122945941,18053.291801202915,0.03826230901236111,-0.0,2.91
19990,2008-01-24 10:00,36.0,4,2,168.0,3.0,3.0,-999,201.0,1,190.88,164.68,0.87,0.36,0.32,0.0,4,154.5,5.176,6,177.58620689655172,56.82758620689654,26.199999999999992,138.46183206106872,264.34538808647505,34.35406624672339,147.18472012102876,154.53199195171024,0.25,0.15000000000000002,0.0,1.2497842502696872,0.5,0.43,-0.245,0.5813802724516021,0.647498855869084,0.05,6.0,0.2620371512896547,20290.67095588236,0.07762771006783736,-0.7,4.78
20092,2008-01-24 10:00,36.0,5,2,156.0,3.0,2.3,-999,191.0,1,181.59,137.06,1.1,0.22,0.52,0.0,4,183.3,20.32,16,166.63636363636363,86.65090909090908,44.53,167.1886817875589,327.09450436792577,53.93930904749134,204.0000556173526,218.37487562189048,0.24,0.6500000000000001,-0.5,3.2552585318542766,0.55,0.62,-0.48,0.3420651951096333,0.3745234477943145,0.5647958579550791,0.4883815889408478,0.3095940919417775,18677.643426807306,0.05657869395508242,-0.3,4.56
20030,2008-01-24 11:00,30.0,3,2,61.0,2.0,3.0,-999,91.0,1,103.28,71.08,2.74,0.0,1.47,0.0,5,166.3,15.92,42,60.6934306569343,89.21934306569342,32.2,157.16909937888198,187.8983852015357,48.27976639553602,176.3789115646259,197.9573886639677,0.23,1.2900000000000005,0.0,2.08964273125013,0.62,0.5,-0.3754,0.4730485446655893,0.5002174476208284,0.26336545673686856,0.21861544729427584,0.10828546373263782,13174.238754802407,0.01837253975294237,-0.2,4.62
19850,2008-01-24 11:00,35.0,3,1,20.0,1.0,3.0,1,56.0,1,69.56,27.66,1.99,0.0,0.91,0.0,5,209.8,51.39,58,105.42713567839195,95.93869346733669,41.90000000000001,169.02431980906917,146.5595521724271,57.59262743898682,196.88115154807167,202.48785340314137,0.23,0.56,0.0,1.5202890531775182,0.89,0.82,-0.4803,0.3635361130842954,0.4494555899506642,0.7110667842085301,0.4696558298119185,0.17587059519760542,16643.967857274118,0.035984199556952035,-0.0,4.14
20070,2008-01-24 12:00,32.0,5,2,26.0,3.0,3.0,-999,58.0,1,72.22,27.88,2.33,0.0,1.34,0.0,5,218.4,47.96,58,93.73390557939913,125.60343347639488,44.34,173.11790708164187,136.12960147527164,62.6128777755377,209.15104752171692,227.16168009205987,0.23,0.96,-0.5,1.9296743402582817,1.0,0.9,-0.5478,0.3435309683859264,0.4316361726054375,0.8307800280637015,0.5593555958600168,0.15882493676094198,11041.625529071065,0.008534244866009249,-0.1,3.14
