"triggerDateTime","coordX","coordY","startZoneElevation","startZoneAspect","fractureThicknessMean","size"
"2016-01-13 06:00:00",189564.582225043,780531.733308317,2681.9,"SE",40,1
"2022-03-21 16:00:00",199055.099690737,714035.648899187,2588,"SE",400,3
"2014-02-19 09:00:00",164589.997420502,793350.011596445,2700,"E",30,3
"2002-12-22 15:30:00",170659.90016436,701769.940316668,2400,"W",100,3
"2015-01-01 09:00:00",145915.979393478,794011.081561038,2520,"NE",30,1
"2011-02-22 09:00:00",181955.963425869,784867.943306593,2600,"W",20,2
"2022-02-03 08:57:00",100464.076086725,623454.899738604,3366,"S",80,3
"2017-03-07 23:00:00",166279.265304212,692349.953700132,2520,"N",80,4
"2014-05-04 08:20:00",140589.626526757,608879.665674005,2890,"N",30,2
"2020-12-08 17:00:00",135160.088816803,604790.863855579,2807,"W",30,2
"2004-12-19 08:00:00",154485.931811137,780086.00871274,2850,"E",30,2
"2012-12-18 14:00:00",147000.019043778,588199.995023464,2930,"N",150,3
"2022-02-07 05:00:00",136879.084034084,639855.218575707,2261,"E",100,3
"2008-11-25 12:30:00",170659.90016436,701769.940316668,1700,"SE",80,2
"2019-01-29 11:30:00",205970.329724665,749396.858024279,2365,"NE",35,1
"2017-12-13 23:00:00",98223.6442356287,563412.996444508,2181.6,"NW",100,4
"2019-12-28 11:00:00",224118.731491849,742495.105698825,2189,"NE",40,2
"2020-02-18 08:40:00",226060.315605196,744179.963942848,1828,"E",30,2
"2009-03-08 07:00:00",164470.988913575,791704.008604882,2450,"S",15,2
"2019-12-24 11:00:00",164858.316864969,585003.823981813,1906,"NE",25,1
"2004-02-20 05:00:00",154485.931800899,780083.00870446,2950,"SE",30,2
"2019-03-06 23:55:00",96021.1025268564,625434.880692622,NA,"SE",20,1
"2004-01-02 11:00:00",175749.741763827,781959.881409338,2650,"W",40,2
"2012-05-17 07:15:00",181773.967728977,785873.943694677,3010,"SW",60,3
"2022-02-11 15:00:00",176586.397096357,661910.962974384,2041,"W",20,2
"2020-12-22 11:00:00",129745.908679156,595960.683402157,2548,"NE",10,2
"2007-03-24 08:00:00",189829.87595196,736719.961533303,2600,"SE",100,3
"2022-02-05 11:00:00",164516.97849361,821429.499174482,2650,"NE",50,2
"2021-02-13 12:30:00",204123.536465378,737631.026400014,2300,"NE",90,4
"2019-03-15 01:00:00",103223.028678563,561459.493403198,2481,"E",100,4
"2020-12-07 11:00:00",136359.848534922,658086.364318327,1969,"S",60,2
"2015-01-23 09:30:00",107908.085612921,585577.017211072,3160,"NE",60,3
"2008-03-24 08:30:00",181955.963425869,784867.943306593,2560,"W",10,2
"2022-02-03 06:00:00",158609.013087687,729086.523926283,2363,"N",50,2
"2006-03-13 10:10:00",96500.1029261777,623849.886826228,2720,"N",60,3
"2003-02-06 09:00:00",146672.970563049,658421.907814184,3050,"S",80,4
"2010-02-03 13:30:00",132500.025941991,567200.039438057,1860,"NE",70,3
"2022-02-03 13:00:00",163540.954810859,796599.493405526,2593,"SW",80,3
"2022-02-22 14:30:00",165907.522546383,733357.184001012,1475,"SE",35,1
"2010-02-06 15:00:00",153149.931286696,780300.012044241,2930,"S",50,3
"2016-01-05 07:00:00",97856.7372072935,563373.992225572,2301.1,"N",120,3
"2015-01-02 10:00:00",179834.993546756,815912.921310587,3005,"E",50,3
"2011-03-20 13:30:00",118620.042448868,631268.899437967,2400,"NE",40,4
"2006-02-25 10:25:00",93019.7094513529,626899.381008544,2960,"N",60,2
"2022-02-09 11:00:00",166991.096518446,710000.89120834,2371,"W",30,2
"2009-02-17 15:00:00",181955.963425869,784867.943306593,2380,"SE",60,4
"2010-02-03 10:15:00",219182.884342118,764706.927520914,2000,"NW",30,2
"2021-12-13 15:25:00",165136.000927059,734163.3816013,1367,"NW",30,2
"2011-12-31 08:30:00",130487.04079383,601575.973516962,2140,"SE",30,3
"2005-05-09 14:30:00",141323.996350201,642761.914850274,3680,"SE",40,2
"2005-03-14 10:05:00",202949.840982396,782500.165092906,2230,"NE",15,3
"2018-01-22 21:40:00",153837.954982176,700138.105052829,2479.7,"S",75,3
"1995-02-03 12:30:00",159124.580126904,760174.802873832,2360,"NE",60,2
"2021-01-12 07:00:00",107201.758305003,641091.614371607,2922,"W",30,3
"2022-02-22 12:50:00",160044.812775455,705189.984415386,2379,"W",40,2
"1998-12-31 09:15:00",181869.289697842,677630.014261418,1760,"NW",30,2
"2017-12-15 12:00:00",192727.028365572,736201.36280112,2377.6,"NE",70,2
"2018-01-03 23:00:00",170281.971555186,796508.791917147,2146.4,"NE",70,3
"2009-02-07 11:00:00",186300.14827106,814399.908692982,2400,"SW",20,3
"2021-03-20 11:00:00",207493.164751613,821529.561720605,2720,"N",80,3
"2014-03-02 08:00:00",103090.068920939,636859.858190317,3000,"NE",190,3
"2017-02-11 14:00:00",129708.04199365,601842.972824248,2450,"NW",80,3
"2019-12-28 11:00:00",165292.996214641,747045.770984926,2254,"S",60,2
"2010-03-14 13:00:00",224379.674686704,742250.061154728,2230,"E",15,2
"2013-10-30 13:30:00",103090.068920939,636859.858190317,3900,"E",50,3
"2012-11-11 06:00:00",103090.068920939,636859.858190317,3200,"N",20,2
"2002-03-09 08:30:00",138649.347196884,645949.792246535,1920,"NW",40,2
"2016-02-10 03:00:00",153149.931286696,780300.012044241,2900,"E",80,4
"2021-01-24 11:00:00",119564.763266467,643348.743069766,2158,"SE",15,1
"2014-12-20 13:45:00",175559.298061396,702499.9701284,2820,"E",25,2
"2009-02-03 04:00:00",146039.885081832,764389.974587784,2440,"SW",35,2
"1999-02-22 11:00:00",206699.852072932,781250.191271426,2200,"SE",400,4
"2020-01-29 07:30:00",132514.39331348,604831.425926816,2151,"NE",60,2
"2004-01-03 09:00:00",116350.0243833,647659.860703625,2200,"SE",30,3
"2019-01-29 23:00:00",120971.055983441,583957.014292323,2300,"W",70,2
"2003-02-13 11:00:00",196599.919684667,773406.921067047,2300,"S",80,4
"2020-12-28 09:33:00",79577.7277816805,579136.000046474,2495,"N",30,1
"2006-02-12 12:00:00",180699.955665815,663349.967094981,2380,"NW",30,3
"2017-02-19 16:00:00",103007.528550826,637687.85593132,2839.2,"NW",20,1
"2015-02-07 11:00:00",127379.918754979,587639.395313444,2450,"SW",50,2
"2021-01-30 11:00:00",165213.42099869,790865.048767732,2480,"S",50,2
"2022-02-04 11:00:00",165782.527970138,589492.717818859,1866,"NW",30,3
"2010-12-26 14:20:00",193497.496876616,738544.997861686,2500,"SW",40,4
"2002-01-02 14:20:00",212269.537950286,730540.031316825,2120,"NW",40,3
"2014-12-21 09:00:00",191031.64715629,781173.858975835,2460.2,"NE",50,1
"2016-01-18 07:00:00",192653.266630662,730601.03071798,2956.2,"S",120,4
"2009-02-15 09:00:00",186300.14827106,814399.908692982,2400,"SE",60,3
"2019-03-16 05:30:00",205410.762204166,749374.623253617,NA,NA,15,1
"2020-01-31 10:00:00",136091.489177562,623094.506375211,2036,"E",50,3
"2018-01-23 08:00:00",137215.755835055,639151.111981341,2754.3,"E",80,3
"2000-02-25 11:00:00",148179.630821298,764019.717630056,3140,"SE",80,3
"2006-02-20 11:00:00",116939.746063334,604529.379543353,2500,"E",60,2
"2021-12-12 11:00:00",147294.739847876,681536.052885526,2601,"S",100,3
"2021-02-17 13:30:00",176918.384896427,661762.323289068,2067,"S",120,2
"2012-04-22 11:10:00",104849.846014582,602099.219297392,2800,"NE",60,3
"2015-02-28 07:00:00",166499.62499024,770090.720815746,2260.2,"N",20,2
"2015-03-22 15:00:00",156947.347207853,757957.460431639,2541.8,"W",20,2
"2005-03-10 10:00:00",181955.963425869,784867.943306593,2200,"SE",30,2
"2007-12-17 15:00:00",170659.90016436,701769.940316668,2370,"SE",100,3
"2017-02-16 07:20:00",107908.085612921,585577.017211072,2612,"NE",90,3
"2019-01-21 12:45:00",99350.4627807629,564003.748554849,2090,"NW",30,2
"2017-03-10 07:00:00",192266.398453088,735263.607999528,2394.5,"S",30,3
"2015-01-13 10:00:00",186512.906490888,767129.941664924,2660,"SE",30,2
"2010-03-02 12:30:00",157669.872269446,744924.939837252,2090,"S",50,2
"2021-01-15 07:00:00",161629.247398868,794591.252764338,2468,"NW",60,4
"2022-02-01 09:10:00",226451.254110769,744143.754319612,1749,"NE",150,2
"2015-02-25 07:00:00",103532.037687555,561284.469353102,2629.5,"E",40,3
"2009-12-05 11:30:00",181955.963425869,784867.943306593,2280,"S",30,2
"2020-03-07 12:00:00",104075.285971163,589059.112230763,2984,"N",120,2
"2020-02-03 13:05:00",99462.3697423754,623141.381125623,2968,"SE",100,4
"2021-05-02 10:00:00",142173.473309842,792398.243661232,2721,"NW",30,2
"2010-12-29 13:00:00",139249.376974923,639949.774857746,3000,"SE",50,2
"2020-12-26 12:00:00",141986.934827479,624032.848040037,2956,"SE",60,2
"2020-02-08 09:00:00",162938.839652087,796904.708567748,2601,"E",50,1
"2017-03-16 14:45:00",111102.924658069,592589.208496753,2355,"W",55,2
"2013-02-10 13:45:00",116089.757660673,603879.364789688,2600,"W",120,3
"2016-01-30 11:13:00",172129.745112438,782984.839387705,2985,"N",50,2
"2011-03-19 12:00:00",164499.873257642,733349.936298275,2650,"W",30,2
"2021-01-13 09:30:00",134838.33794942,566858.691159894,1911,"S",45,2
"2013-01-12 03:50:00",156449.99365703,634624.944605365,2200,"SW",80,3
"2021-01-27 15:40:00",98550.8684967905,623160.329310406,2676,"E",30,4
"2022-01-11 13:00:00",171415.237244655,796923.741065035,2658,"SE",40,2
"2012-02-22 13:00:00",184915.424633126,639070.088941447,1950,"NE",20,2
"2021-12-29 23:00:00",135491.751240468,600458.39563254,2805,"S",120,4
"2006-01-29 14:15:00",129818.042178776,599245.978175138,2800,"N",40,2
"2010-02-01 09:00:00",181955.963425869,784867.943306593,2690,"E",30,2
"2010-04-02 09:00:00",192469.787540045,781900.060047938,2500,"NW",50,3
"2003-02-25 09:00:00",174900.964818914,656017.958852548,2000,"NW",50,3
"2021-01-14 07:50:00",162912.038128651,730626.479553633,1977,"SE",60,2
"2012-12-30 13:00:00",161456.895682541,764627.966375712,2500,"E",50,2
"2012-11-14 08:40:00",101919.572163204,636159.53030401,3150,"NE",75,3
"2006-02-22 09:00:00",123135.433435768,557649.148111177,2000,"N",60,2
"2011-03-20 09:00:00",158355.896219124,765754.970748441,2280,"NE",30,3
"2022-02-19 15:00:00",115828.471051901,608028.712543951,2754,"E",70,3
"2019-12-14 06:30:00",215146.630121339,793321.317237026,2363,"S",100,2
"1995-02-05 09:45:00",166899.268492479,694124.95430872,2420,"E",20,2
"2007-03-17 11:00:00",181955.963425869,784867.943306593,2540,"W",40,2
"2004-01-19 09:00:00",154485.931800899,780083.00870446,2750,"S",30,2
"2021-03-20 11:00:00",108784.988463667,588964.144158036,2680,"NE",80,3
